iter	Passed	Remaining
0	135	13406
1	136	6681
2	138	4470
3	139	3344
4	140	2663
5	140	2208
6	141	1883
7	144	1659
8	146	1484
9	148	1333
10	149	1207
11	151	1110
12	152	1020
13	153	942
14	155	878
15	156	819
16	157	767
17	158	720
18	158	677
19	159	639
20	160	605
21	161	574
22	162	544
23	163	518
24	164	493
25	165	471
26	166	450
27	167	430
28	168	411
29	168	394
30	169	377
31	170	362
32	171	348
33	172	335
34	173	322
35	174	310
36	175	299
37	176	287
38	177	277
39	178	267
40	179	258
41	180	249
42	181	240
43	181	231
44	183	224
45	184	216
46	185	209
47	186	202
48	187	195
49	188	188
50	189	182
51	190	175
52	191	169
53	192	163
54	192	157
55	193	152
56	194	146
57	195	141
58	196	136
59	197	131
60	198	126
61	198	121
62	200	117
63	201	113
64	201	108
65	202	104
66	203	100
67	204	96
68	205	92
69	206	88
70	207	84
71	208	81
72	209	77
73	210	73
74	211	70
75	212	66
76	213	63
77	213	60
78	214	57
79	215	53
80	216	50
81	217	47
82	218	44
83	218	41
84	219	38
85	220	35
86	221	33
87	222	30
88	222	27
89	223	24
90	224	22
91	225	19
92	226	17
93	227	14
94	228	12
95	229	9
96	230	7
97	230	4
98	231	2
99	232	0
