Feature,Mean_Abs_SHAP
month_sin,0.06371024
Column_Top_Temp,0.029887216
Reboiler_Outlet_Temp_lag3,0.02785813
Reboiler_Outlet_Temp_lag1,0.02277508
month_cos,0.022745637
Reflux_Flow_roll_mean_12h,0.019387837
Data_Block,0.018814147
Reboiler_Outlet_Temp,0.017697738
Reboiling_Steam_Flow_roll_mean_12h,0.017213749
Reboiling_Steam_Flow_lag1,0.014662869
Feed_Flow_roll_mean_12h,0.0143340845
Column_Bottom_Temp_lag2,0.013165151
Temp_Gradient,0.012846762
Column_Bottom_Temp_roll_mean_3h,0.01218066
Reboiling_Steam_Flow_lag2,0.012133533
Column_Top_Pressure_lag1,0.010694574
Column_Top_Pressure,0.010293669
Control_Tray_Temp_lag1,0.01023522
Reflux_Flow_lag2,0.01020138
hour_sin,0.010166647
dow_sin,0.010039255
Column_Bottom_Temp_roll_mean_12h,0.009439505
Control_Tray_Temp_lag6,0.00932637
Reboiler_Outlet_Temp_lag2,0.009057122
Reboiling_Steam_Flow_roll_mean_6h,0.008830502
Column_Top_Temp_lag2,0.008656868
Reflux_Flow_roll_mean_6h,0.007912426
dow_cos,0.007826661
Column_Bottom_Temp_lag1,0.007692238
Reboiling_Steam_Flow_lag12,0.0075982353
Control_Tray_Temp_lag2,0.0070112906
Column_Top_Temp_lag1,0.0065293917
Column_Bottom_Temp_roll_mean_6h,0.00641174
Feed_Flow_roll_mean_6h,0.005995178
Reboiling_Steam_Flow,0.0057136393
Reflux_Flow_roll_std_6h,0.00508775
Control_Tray_Temp,0.005053701
Reboiling_Steam_Flow_lag6,0.0049816403
Steam_Feed_Ratio,0.004972009
Feed_Flow_roll_std_6h,0.00473561
Column_Top_Pressure_lag2,0.0043750545
Feed_Flow,0.0043690433
Reflux_Flow_lag6,0.0041386536
Feed_Flow_lag1,0.0040940885
Reflux_Flow_roll_std_3h,0.003962203
Column_Bottom_Temp_diff1,0.003918807
Column_Bottom_Temp,0.0037610517
Reboiler_Delta,0.003742974
Feed_Flow_roll_std_3h,0.0036918647
Feed_Flow_roll_mean_3h,0.0035077801
Reflux_Ratio,0.003358109
Reboiling_Steam_Flow_roll_mean_3h,0.0028051308
Control_Tray_Temp_lag3,0.0027867071
Column_Bottom_Temp_lag3,0.0027456176
Reboiling_Steam_Flow_lag3,0.0026398336
Reflux_Flow,0.0025697565
Feed_Flow_lag3,0.0024907654
Feed_Flow_diff1,0.0022725533
Reboiling_Steam_Flow_roll_std_6h,0.0022422564
Reboiling_Steam_Flow_diff1,0.002198128
hour_cos,0.0021691055
Reboiling_Steam_Flow_roll_std_3h,0.001879756
Feed_Flow_lag2,0.0018033122
Reflux_Flow_roll_mean_3h,0.0017360926
Reflux_Flow_lag1,0.0017351678
Reflux_Flow_lag3,0.0014525668
Reflux_Flow_diff1,0.00093576254
