Feature,Mean_Abs_SHAP
Pressure_x_TopTemp,0.047120918
Reboiler_Outlet_Temp_lag1,0.027572997
Column_Bottom_Temp_Pnorm_k10,0.019440193
Feed_Flow_roll_mean_12h,0.016210336
Reboiler_Delta,0.013727395
Control_Tray_Temp_dev24h,0.012480951
Reflux_Flow_roll_mean_12h,0.010384816
Feed_Flow_roll_std_6h,0.009978137
dow_sin,0.009943499
Reflux_Flow_roll_mean_6h,0.009008915
Reboiling_Steam_Flow_roll_mean_3h,0.008840713
Reboiler_Outlet_Temp,0.008448727
Reflux_Flow_dev24h,0.008363748
Reboiling_Steam_Flow_lag1,0.008098861
Control_Tray_Temp_Pratio,0.0080929175
Reflux_Flow_lag6,0.008077037
Column_Top_Temp,0.007931761
Control_Tray_Temp_lag2,0.00788094
Reboiling_Steam_Flow_roll_mean_12h,0.007524802
Control_Tray_Temp_lag6,0.007397647
Reboiler_Outlet_Temp_lag3,0.007277879
Column_Bottom_Temp_Pratio,0.007142029
Column_Bottom_Temp_roll_mean_12h,0.0070383544
Reboiling_Steam_Flow_roll_mean_6h,0.006831822
Column_Bottom_Temp_dev24h,0.0066916547
Reflux_Flow_roll_std_6h,0.0066454536
Steam_Feed_Ratio,0.0064730584
Control_Tray_Temp_lag1,0.0063919774
Pressure_x_BottomTemp,0.0061974144
Column_Top_Temp_Pratio,0.0061539644
Reflux_Flow,0.005983014
Column_Top_Temp_Pnorm_k5,0.0059298393
Bottom_Temp_diff1,0.0056886487
Control_Tray_Temp_lag3,0.005657078
Feed_Flow,0.0054716226
dow_cos,0.0053399843
Column_Top_Temp_lag1,0.0053150225
Reflux_Ratio,0.0052911993
hour_sin,0.0052091856
Reboiling_Steam_Flow_dev24h,0.0052074664
Column_Top_Temp_Pnorm_k3,0.004925143
Column_Top_Temp_Pnorm_k10,0.004896278
Temp_Gradient,0.0048019164
Reboiling_Steam_Flow_lag12,0.00463961
Column_Top_Pressure_lag2,0.0046043163
Column_Top_Temp_lag2,0.004585709
Control_Tray_Temp,0.004477661
Reboiling_Steam_Flow_lag2,0.004295604
Column_Top_Pressure_lag1,0.0039053815
Pressure_x_ControlTrayTemp,0.0038976618
Column_Bottom_Temp_lag1,0.003825177
Column_Top_Pressure_dev24h,0.003741055
Control_Tray_Temp_Pnorm_k3,0.0037398657
Control_Tray_Temp_Pnorm_k10,0.0037186705
Feed_Flow_lag3,0.0036619173
Reboiling_Steam_Flow,0.0034226554
Reboiling_Steam_Flow_roll_std_6h,0.0032371522
Reflux_Flow_lag3,0.0031352625
hour_cos,0.0031117417
Column_Bottom_Temp_roll_mean_3h,0.002892296
Feed_Flow_lag2,0.0028633482
Reflux_Flow_lag1,0.002815713
Column_Top_Pressure,0.0027073785
Temp_Gradient_Pnorm,0.0026992466
Reflux_Flow_lag2,0.0026917874
Reflux_Flow_roll_mean_3h,0.0026666427
Reflux_Flow_roll_std_3h,0.002623561
Feed_diff1,0.0023947984
Steam_diff1,0.0022834088
Feed_Flow_lag1,0.0021743241
Reboiling_Steam_Flow_lag3,0.0021169195
Feed_Flow_roll_mean_6h,0.0020557768
Feed_Flow_roll_std_3h,0.0020298236
Reboiling_Steam_Flow_lag6,0.002027875
Reboiler_Outlet_Temp_lag2,0.001997817
Column_Bottom_Temp_roll_mean_6h,0.0018498437
Feed_Flow_roll_mean_3h,0.001768578
Reboiling_Steam_Flow_roll_std_3h,0.001735928
Column_Bottom_Temp_lag2,0.0014724415
Reflux_diff1,0.0014483694
Column_Bottom_Temp_Pnorm_k5,0.0011983829
Column_Bottom_Temp_lag3,0.0010799628
Column_Bottom_Temp,0.0010704276
Column_Bottom_Temp_Pnorm_k3,0.0009372601
Control_Tray_Temp_Pnorm_k5,0.0006491583
