Feature,Mean_Abs_SHAP
Pressure_x_TopTemp,0.053788904
Column_Bottom_Temp_Pnorm_k10,0.021727392
Reboiler_Outlet_Temp_lag1,0.019788114
Feed_Flow_roll_mean_12h,0.016945833
Control_Tray_Temp_dev24h,0.013581745
Feed_Flow_roll_std_6h,0.011293393
Reboiler_Delta,0.011092913
Reboiler_Outlet_Temp,0.009927123
Steam_Feed_Ratio,0.00907416
Control_Tray_Temp_Pratio,0.009014863
Reboiler_Outlet_Temp_lag3,0.008868712
Column_Top_Temp,0.008551053
Reboiling_Steam_Flow_roll_mean_6h,0.008440336
Reflux_Flow_lag6,0.008093252
Column_Top_Temp_Pratio,0.007953839
Reflux_Flow_roll_mean_6h,0.0074081817
Column_Bottom_Temp_roll_mean_12h,0.007386871
Control_Tray_Temp_lag6,0.0072172354
Reboiling_Steam_Flow_roll_mean_3h,0.0069817537
Reboiler_Outlet_Temp_lag2,0.00678665
Reboiling_Steam_Flow_lag12,0.0067363637
Control_Tray_Temp_lag2,0.0067124097
Reflux_Flow_dev24h,0.0065802014
Temp_Gradient,0.006280127
Column_Bottom_Temp_dev24h,0.006276583
Pressure_x_BottomTemp,0.006068902
Column_Top_Temp_Pnorm_k5,0.0059266756
Control_Tray_Temp_lag1,0.00591253
Reboiling_Steam_Flow_roll_mean_12h,0.0058982777
Reboiling_Steam_Flow_dev24h,0.0057081175
Reflux_Ratio,0.0056116953
Reboiling_Steam_Flow_lag2,0.0055349516
Bottom_Temp_diff1,0.005472869
Reflux_Flow,0.005421486
Reflux_Flow_roll_mean_12h,0.005366736
Reflux_Flow_roll_std_6h,0.0053314823
Control_Tray_Temp,0.005249867
Column_Top_Pressure_lag1,0.0050425013
Feed_Flow,0.0050369096
Column_Bottom_Temp_Pratio,0.0050203637
Column_Top_Temp_lag1,0.00495365
Control_Tray_Temp_lag3,0.0048353737
Reboiling_Steam_Flow_lag6,0.004834632
Column_Bottom_Temp_lag1,0.004802617
Column_Top_Temp_Pnorm_k10,0.0047668754
Column_Top_Pressure_lag2,0.0046841446
Temp_Gradient_Pnorm,0.0045252168
Pressure_x_ControlTrayTemp,0.0043094773
Control_Tray_Temp_Pnorm_k10,0.0042078625
Column_Bottom_Temp_lag2,0.0041557006
Column_Top_Pressure_dev24h,0.0040513445
Reflux_Flow_lag1,0.0040094806
Reflux_Flow_roll_std_3h,0.003981573
Reflux_Flow_roll_mean_3h,0.003919077
Reflux_Flow_lag2,0.0036939667
Reboiling_Steam_Flow_roll_std_6h,0.003575362
Reboiling_Steam_Flow_roll_std_3h,0.0034386185
Reboiling_Steam_Flow,0.0032514734
Column_Top_Temp_Pnorm_k3,0.0032402715
Reboiling_Steam_Flow_lag1,0.0032338756
Column_Bottom_Temp_roll_mean_3h,0.0031771183
Column_Top_Temp_lag2,0.0030552251
Feed_Flow_roll_mean_6h,0.0030498616
Reboiling_Steam_Flow_lag3,0.0030236596
Column_Top_Pressure,0.0029361306
Feed_Flow_lag3,0.0029096587
Reflux_Flow_lag3,0.0029043385
Feed_Flow_roll_mean_3h,0.0026623867
Feed_Flow_roll_std_3h,0.0026062753
Control_Tray_Temp_Pnorm_k3,0.002517381
Feed_diff1,0.0024955075
Column_Bottom_Temp_roll_mean_6h,0.002444548
Feed_Flow_lag2,0.0023017041
Feed_Flow_lag1,0.0020547544
Control_Tray_Temp_Pnorm_k5,0.0020410167
Steam_diff1,0.0018347615
Column_Bottom_Temp_Pnorm_k5,0.0017637251
Reflux_diff1,0.0017435639
Column_Bottom_Temp_lag3,0.001717535
Column_Bottom_Temp,0.0011679091
Column_Bottom_Temp_Pnorm_k3,0.000628176
