Experiment,Pearson,R2,MAE,Top Feature
Baseline,-0.1784881327462094,-1.0363394469830185,0.30101473686404506,month_cos (0.378)
Exp 1: No Calendar,-0.3139443878064029,-0.9674084433761698,0.29301655669136667,Control_Tray_Temp_lag1 (0.111)
Exp 2: No Regime,-0.2075295647184397,-0.8816113467433524,0.28195518102844797,month_cos (0.303)
Exp 3: All Removed,-0.33401908166481115,-0.9693047622525586,0.28905670819412377,Control_Tray_Temp_lag1 (0.103)
Exp 4: Pnorm (k=3),-0.26756285269901464,-0.7295047847252232,0.2682528929841739,Control_Tray_Temp_Pnorm_k3 (0.172)
Exp 5: Pnorm (k=5),-0.3382918548412227,-1.050179470989511,0.29007430403596673,Control_Tray_Temp_Pnorm_k5 (0.175)
Exp 6: Pnorm (k=10),-0.3545597086073598,-0.8704738330795643,0.28037024688316786,Column_Bottom_Temp_Pnorm_k10 (0.250)
Exp 7: Pnorm Ratio,-0.38473523378101276,-1.1231658742458457,0.2985465882897142,Column_Bottom_Temp_Pratio (0.216)
Exp 8: Pnorm Gradient,-0.35005743906807196,-1.0453601767599898,0.2947656362587171,Control_Tray_Temp_lag1 (0.108)
Exp 9: Pressure Interactions,-0.35063967507428984,-0.9840651611578959,0.29122441257054305,Pressure_x_TopTemp (0.196)
Exp 10: Rolling Deviations,-0.3261829674135537,-0.8521684533528937,0.2784126470909117,Control_Tray_Temp_lag1 (0.109)
Exp 11: Campaign Anchor,0.8595349887263055,0.6864867636218167,0.10322049988956485,C4H8_campaign_anchor (0.538)
