Feature,Importance
Column_Bottom_Temp_dev24h,0.3948691030290642
Reboiling_Steam_Flow_dev24h,0.16969747784696396
Column_Bottom_Temp_lag1,0.0918269541829867
Control_Tray_Temp_lag1,0.09124509282498112
Reboiling_Steam_Flow,0.08476440045429909
Reboiling_Steam_Flow_lag1,0.04418312551357815
Reflux_Flow_dev24h,0.03557346934804259
Control_Tray_Temp_dev24h,0.028954272525927128
Column_Top_Pressure_dev24h,0.013002656791301295
Reflux_Flow,0.011920419655931769
Reflux_Flow_lag1,0.011826850916359861
Column_Top_Pressure_lag1,0.006971443483631211
Steam_Feed_Ratio,0.0069243105000231535
Feed_Flow,0.005527450605197621
Reflux_Ratio,0.0027129723217121896
