Feature,Importance
Control_Tray_Temp_lag1,0.2952930881244088
Control_Tray_Temp_dev24h,0.1163978616955283
Reboiling_Steam_Flow,0.09839923287620007
Column_Top_Pressure_lag1,0.08562681502574447
Reboiling_Steam_Flow_dev24h,0.07007860862535453
Column_Bottom_Temp_dev24h,0.0618175506511282
Steam_Feed_Ratio,0.06041361127050096
Reflux_Flow_dev24h,0.042145558253241865
Column_Bottom_Temp_lag1,0.03510376481236126
Feed_Flow,0.030526453236740445
Column_Top_Pressure_dev24h,0.030018005866020787
Reboiling_Steam_Flow_lag1,0.02728680136129617
Reflux_Flow,0.019121645239861193
Reflux_Flow_lag1,0.015402173306356785
Reflux_Ratio,0.012368829655256224
